pair,SVM_predict,RF_predict,XGB_predict
1-decyl-3-methylimidazolium hydrogensulfate,0,0,0
triethylsulfonium tricyanomethanide,1,1,1
1-hexyl-3-methylimidazolium dibutylphosphate,0,0,0
1-hexyl-3-methylimidazolium bis(2-ethylhexyl)phosphate,0,0,0
1-butyl-2-methylpyridinium decanoate,0,0,0
2-hydroxyethylammonium bis(fluorosulfonyl)imide,1,1,0
1-methyl-3-octylimidazolium hydrogensulfate,0,0,0
octyltriethylammonium acetate,0,0,0
"1-butyl-2,3-dimethylimidazolium tricyanomethanide",1,1,0
ethylammonium thiocyanate,1,1,1
1-methyl-1-propylpiperidinium bis(pentafluoroethylsulfonyl)imide,0,0,0
1-hexyl-3-methylimidazolium thiocyanate,1,0,0
1-propyl-4-methylpyridinium dicyanamide,1,1,1
1-butyl-2-methylpyridinium dimethyl phosphate,0,0,0
1-propylpyridinium bis(pentafluoroethylsulfonyl)imide,0,0,0
1-heptyl-3-methylimidazolium thiocyanate,1,0,0
1-propyl-2-methylpyridinium trifluoroacetate,0,0,0
1-propyl-4-methylpyridinium bis(2-ethylhexyl)phosphate,0,0,0
1-ethyl-3-methylpyridinium dimethyl phosphate,0,0,0
1-propyl-2-methylpyridinium bis(fluorosulfonyl)imide,1,1,0
1-benzyl-3-methylimidazolium formate,0,0,0
triisobutylmethylphosphonium dibutylphosphate,0,0,0
1-butyl-3-methylpyridinium methanesulfonate,0,0,0
diethylmethylammonium tosylate,0,0,0
1-methyl-1-propylpiperidinium bis(fluorosulfonyl)imide,0,0,0
1-hexyl-3-methylimidazolium bis(fluorosulfonyl)imide,0,0,0
1-ethyl-3-propylimidazolium decanoate,0,0,0
tributylmethylphosphonium tricyanomethanide,1,0,0
choline tricyanomethanide,1,1,1
trihexyltetradecylphosphonium tricyanomethanide,0,0,0
"1-butyl-2,3-dimethylimidazolium bis(fluorosulfonyl)imide",0,0,0
1-hexylpyridinium diethyl phosphate,0,0,0
1-ethylimidazolium tricyanomethanide,1,1,1
1-decyl-3-methylimidazolium methanesulfonate,0,0,0
1-methyl-3-octylimidazolium bis(2-ethylhexyl)phosphate,0,0,0
1-ethyl-4-methylpyridinium tricyanomethanide,1,1,1
