label,conductivity,ECW,density,melting_point,viscosity,formula,T_conductivity,T_density,T_viscosity,cation,anion
1-Ethyl-3-methylimidazolium methylsulfate,,,1.28,<RT,64,C7H14N2O4S,,26,25,1-Ethyl-3-methylimidazolium,methyl sulfate
1-Ethyl-3-methylimidazolium nitrate,,,,38,21.3,C6H11N3O3,,,45,1-Ethyl-3-methylimidazolium,nitrate
1-Ethyl-3-methylimidazolium tetrafluoroborate,14.1,3.6,1.28,15,33.8,C6H11BF4N2,25,24,25,1-Ethyl-3-methylimidazolium,tetrafluoroborate
1-Ethyl-3-methylimidazolium thiocyanate,17.8,,1.12,-6,24.7,C7H11N3S,,,,1-Ethyl-3-methylimidazolium,thiocyanate
1-Ethyl-3-methylimidazolium tosylate,0.19,,1.23,34,5214,C13H18N2O3S,20,20,20,1-Ethyl-3-methylimidazolium,tosylate
1-Ethyl-3-methylimidazolium triflate,9.84,3.9,1.39,-9,39.8,C7H11F3N2O3S,,,,1-Ethyl-3-methylimidazolium,triflate
1-Ethyl-3-methylimidazolium trifluoroacetate,,,1.31,-14,28.7,C8H11F3N2O2,,25,25,1-Ethyl-3-methylimidazolium,trifluoroacetate
1-Ethyl-3-methylpyridinium  bromide,,,,">RT	",,C8H12BrN,,,,1-Ethyl-3-methylpyridinium,bromide
1-Ethyl-3-methylpyridinium perfluorobutanesulfonate,1.52,4.2,1.52,<RT,194,C12H12F9NO3S,30,23,25,1-Ethyl-3-methylpyridinium,perfluorobutanesulfonate
1-Ethyl-3-propylimidazolium  hexafluorophosphate,,,,>RT,,C8H15F6N2P,,,,1-Ethyl-3-propylimidazolium,hexafluorophosphate
1-Ethyl-3-propylimidazolium  tetrafluoroborate,,,,<RT,,C8H15BF4N2,,,,1-Ethyl-3-propylimidazolium,tetrafluoroborate
1-Ethyl-3-propylimidazolium bis(trifluoromethylsulfonyl)imide,,,,<RT,,C10H15F6N3O4S2,,,,1-Ethyl-3-propylimidazolium,bis(trifluoromethylsulfonyl)imide
1-Ethyl-3-propylimidazolium bromide,,,,>RT,,C8H15BrN2,,,,1-Ethyl-3-propylimidazolium,bromide
1-Ethyl-3-vinylimidazolium bis(trifluoromethylsulfonyl)imide,2.69,,1.5,<RT,47,C9H11F6N3O4S2,25,25,25,1-Ethyl-3-vinylimidazolium,bis(trifluoromethylsulfonyl)imide
1-Ethyl-3-vinylimidazolium bromide,,,,>RT,,C7H11BrN2,,,,1-Ethyl-3-vinylimidazolium,bromide
1-Ethyl-4-methylpyridinium  bromide,,,,140,,C8H12BrN,,,,1-Ethyl-4-methylpyridinium,bromide
1-Ethyl-4-methylpyridinium bis(trifluoromethylsulfonyl)imide,3.42,,1.49,<RT,31.8,C10H12F6N2O4S2,25,21,25,1-Ethyl-4-methylpyridinium,bis(trifluoromethylsulfonyl)imide
1-Ethylimidazolium  chloride,,,,>RT,,C5H9ClN2,,,,1-Ethylimidazolium,chloride
1-Ethylimidazolium  triflate,,,,>RT,,C6H9F3N2O3S,,,,1-Ethylimidazolium,triflate
1-Ethylimidazolium bis(trifluoromethylsulfonyl)imide,4.01,3.4,,<RT,57.2,C7H9F6N3O4S2,30,,25,1-Ethylimidazolium,bis(trifluoromethylsulfonyl)imide
1-Ethylimidazolium bromide,,,,>RT,,C5H9BrN2,,,,1-Ethylimidazolium,bromide
1-Ethylimidazolium nitrate,,,,<RT,,C5H9N3O3,,,,1-Ethylimidazolium,nitrate
1-Ethylpyridinium bis(trifluoromethylsulfonyl)imide,,,,>RT,,C9H10F6N2O4S2,,,,1-Ethylpyridinium,bis(trifluoromethylsulfonyl)imide
1-Ethylpyridinium hexafluorophosphate,,,,106,,C7H10F6NP,,,,1-Ethylpyridinium,hexafluorophosphate
1-Ethylpyridinium tetrafluoroborate,,,,46,,C7H10BF4N,,,,1-Ethylpyridinium,tetrafluoroborate
1-Ethylpyridinium triflate,4.34,,1.4,>RT,68.8,C8H10F3NO3S,24,24,25,1-Ethylpyridinium,triflate
1-Heptyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,,<RT,,C13H21F6N3O4S2,,,,1-Heptyl-3-methylimidazolium,bis(trifluoromethylsulfonyl)imide
1-Heptyl-3-methylimidazolium bromide,,,,<RT,6680,C11H21BrN2,,,25,1-Heptyl-3-methylimidazolium,bromide
1-Heptyl-3-methylimidazolium hexafluorophosphate,,,,<RT,,C11H21F6N2P,,,,1-Heptyl-3-methylimidazolium,hexafluorophosphate
1-Heptyl-3-methylimidazolium tetrafluoroborate,,,,<RT,,C11H21BF4N2,,,,1-Heptyl-3-methylimidazolium,tetrafluoroborate
1-Hexadecyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,,49,,C22H39F6N3O4S2,,,,1-Hexadecyl-3-methylimidazolium,bis(trifluoromethylsulfonyl)imide
1-Hexadecyl-3-methylimidazolium chloride,,,,210,,C20H39ClN2,,,,1-Hexadecyl-3-methylimidazolium,chloride
1-Hexadecyl-3-methylimidazolium dicyanamide,,,,>RT,,C22H39N5,,,,1-Hexadecyl-3-methylimidazolium,dicyanamide
1-Hexadecyl-3-methylimidazolium hexafluorophosphate,,,,125,,C20H39F6N2P,,,,1-Hexadecyl-3-methylimidazolium,hexafluorophosphate
1-Hexadecyl-3-methylimidazolium tetrafluoroborate,,,,55,,C20H39BF4N2,,,,1-Hexadecyl-3-methylimidazolium,tetrafluoroborate
1-Hexadecyl-3-methylimidazolium tricyanomethanide,,,,>RT,,C24H39N5,,,,1-Hexadecyl-3-methylimidazolium,tricyanomethanide
1-Hexyl-1-methylpyrrolidinium bis(trifluoromethylsulfonyl)imide,1.48,,1.34,<RT,108,C13H24F6N2O4S2,30,25,25,1-Hexyl-1-methylpyrrolidinium,bis(trifluoromethylsulfonyl)imide
1-Hexyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,2.27,5.3,1.37,<RT,63.2,C12H19F6N3O4S2,30,29,25,1-Hexyl-3-methylimidazolium,bis(trifluoromethylsulfonyl)imide
